id,title,album,artist,release_date,length,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature,release_year
4bgUaVLZgo99ZtonLFVXFp,Waiting For You,Indische Party,Indische Party,2013-06-07,211133,27,False,211133,0.583,0.625,11,-5.365,1,0.0273,0.0976,2.84e-05,0.202,0.887,115.519,audio_features,spotify:track:4bgUaVLZgo99ZtonLFVXFp,https://api.spotify.com/v1/tracks/4bgUaVLZgo99ZtonLFVXFp,https://api.spotify.com/v1/audio-analysis/4bgUaVLZgo99ZtonLFVXFp,4,2013
0IBzsFXBaqOejM0xMgMiLY,Lagu Wajib,Woh,Sisir Tanah,2017-05-06,253625,39,False,253625,0.618,0.16,0,-12.334,1,0.0287,0.698,0.000133,0.203,0.198,92.065,audio_features,spotify:track:0IBzsFXBaqOejM0xMgMiLY,https://api.spotify.com/v1/tracks/0IBzsFXBaqOejM0xMgMiLY,https://api.spotify.com/v1/audio-analysis/0IBzsFXBaqOejM0xMgMiLY,3,2017
7wFE6d3NIXp9wn23DsVtnd,Lunar Biru,Lunar Biru,Pijar,2018-07-20,204324,33,False,204325,0.577,0.832,9,-4.014,1,0.0289,0.139,2.89e-05,0.241,0.424,114.982,audio_features,spotify:track:7wFE6d3NIXp9wn23DsVtnd,https://api.spotify.com/v1/tracks/7wFE6d3NIXp9wn23DsVtnd,https://api.spotify.com/v1/audio-analysis/7wFE6d3NIXp9wn23DsVtnd,4,2018
7z5k3dMi8gNeJAOZIGspCh,Sang Filsuf,Laras Sahaja,Mr. Sonjaya,2015-06-16,254772,32,False,254772,0.581,0.488,4,-7.635,1,0.0306,0.505,3.7e-05,0.0943,0.648,151.732,audio_features,spotify:track:7z5k3dMi8gNeJAOZIGspCh,https://api.spotify.com/v1/tracks/7z5k3dMi8gNeJAOZIGspCh,https://api.spotify.com/v1/audio-analysis/7z5k3dMi8gNeJAOZIGspCh,4,2015
63a16WqrRK6L1Bf82PuCfy,Aroma Dia,73%,Sisitipsi,2016-02-17,263341,48,False,263342,0.658,0.629,7,-9.945,0,0.0285,0.107,0.0057,0.146,0.404,110.035,audio_features,spotify:track:63a16WqrRK6L1Bf82PuCfy,https://api.spotify.com/v1/tracks/63a16WqrRK6L1Bf82PuCfy,https://api.spotify.com/v1/audio-analysis/63a16WqrRK6L1Bf82PuCfy,4,2016
6xHRfpo0kMRNuZ3v1e3xYF,Pegang Tanganku,"Perspektif Bodoh, Vol. 2",Nosstress,2014-08-22,308349,62,False,308350,0.618,0.291,8,-9.824,1,0.0305,0.886,7.6e-05,0.105,0.248,115.06,audio_features,spotify:track:6xHRfpo0kMRNuZ3v1e3xYF,https://api.spotify.com/v1/tracks/6xHRfpo0kMRNuZ3v1e3xYF,https://api.spotify.com/v1/audio-analysis/6xHRfpo0kMRNuZ3v1e3xYF,4,2014
3pZK71INUBAuIltdTMe7mz,Elegi,Figura Renata,Figura Renata,2017-02-10,274493,45,False,274493,0.582,0.276,7,-11.191,1,0.0332,0.714,0.000231,0.111,0.12,157.986,audio_features,spotify:track:3pZK71INUBAuIltdTMe7mz,https://api.spotify.com/v1/tracks/3pZK71INUBAuIltdTMe7mz,https://api.spotify.com/v1/audio-analysis/3pZK71INUBAuIltdTMe7mz,3,2017
1ljx4VMF6BXTVdHTcMBI6r,All Birds Are Againts The Gravity,Von Stufe Zu Stufe,L'Alphalpha,2013-11-23,292386,16,False,292387,0.444,0.692,2,-7.988,1,0.0428,0.0011,4.35e-05,0.345,0.22,132.893,audio_features,spotify:track:1ljx4VMF6BXTVdHTcMBI6r,https://api.spotify.com/v1/tracks/1ljx4VMF6BXTVdHTcMBI6r,https://api.spotify.com/v1/audio-analysis/1ljx4VMF6BXTVdHTcMBI6r,4,2013
1BdILHTczZzofCim1YoLrc,Red Light,Nightvision,Matter Halo,2020-08-27,287320,32,False,287320,0.511,0.427,5,-10.423,1,0.0275,0.655,0.705,0.151,0.633,105.256,audio_features,spotify:track:1BdILHTczZzofCim1YoLrc,https://api.spotify.com/v1/tracks/1BdILHTczZzofCim1YoLrc,https://api.spotify.com/v1/audio-analysis/1BdILHTczZzofCim1YoLrc,4,2020
3e6ZNt31cBsIoo4S5T1jYE,"Bioskop, Pisau Lipat",Nkkbs Bagian Pertama,Melancholic Bitch,2017-09-09,232542,23,False,232542,0.48,0.52,9,-7.636,1,0.0269,0.0725,0.0391,0.0862,0.309,80.028,audio_features,spotify:track:3e6ZNt31cBsIoo4S5T1jYE,https://api.spotify.com/v1/tracks/3e6ZNt31cBsIoo4S5T1jYE,https://api.spotify.com/v1/audio-analysis/3e6ZNt31cBsIoo4S5T1jYE,4,2017
